east,north,au
619541.76,595040.73,1
619586.02,595017.46,0
619630.27,594994.19,3
619674.53,594970.92,3
619718.78,594947.65,3
619763.04,594924.38,3
619807.29,594901.11,2
619851.55,594877.83,0
619895.8,594854.56,5
620294.09,594645.13,4
620338.35,594621.86,3
620382.6,594598.58,5
620471.11,594552.04,5
620515.37,594528.77,4
620559.62,594505.5,2
620603.87,594482.23,2
620648.13,594458.96,3
620780.89,594389.15,6
620825.15,594365.88,8
620869.4,594342.6,1
620913.66,594319.33,3
620957.91,594296.06,2
621002.17,594272.79,5
621090.68,594226.25,2
621134.93,594202.98,2
619940.06,594831.29,5
619984.31,594808.02,1
620072.82,594761.48,2
620117.07,594738.21,1
620161.33,594714.94,4
620205.58,594691.67,3
620249.84,594668.4,2
620426.86,594575.31,6
620736.64,594412.42,2
621046.42,594249.52,3
620464.73,592928.45,5
620420.48,592951.72,8
620376.22,592974.99,3
620331.97,592998.26,11
620287.71,593021.53,4
620243.46,593044.8,5
620066.44,593137.89,5
620022.18,593161.16,1
619977.93,593184.43,2
620688.13,593353.29,10
620643.88,593376.56,8
620599.62,593399.83,11
620555.37,593423.1,10
620511.11,593446.38,18
620466.86,593469.65,9
620422.6,593492.92,5
620378.35,593516.19,10
620068.57,593679.08,14
619847.29,593795.44,17
619803.04,593818.71,6
619714.53,593865.25,11
619670.27,593888.52,7
619626.02,593911.79,17
619581.77,593935.06,7
619537.51,593958.33,7
619493.26,593981.6,8
619449,594004.88,5
619404.75,594028.15,10
619360.49,594051.42,2
619316.24,594074.69,4
619271.98,594097.96,7
619227.73,594121.23,6
619183.47,594144.5,3
619139.22,594167.77,6
619094.96,594191.04,7
619050.71,594214.31,1
619006.46,594237.58,8
619933.67,593207.7,5
619889.42,593230.97,9
619845.17,593254.24,2
619800.91,593277.51,8
619756.66,593300.78,1
619712.4,593324.05,0
619623.89,593370.59,2
619579.64,593393.86,5
619535.38,593417.14,2
619491.13,593440.41,3
619446.87,593463.68,4
619269.86,593556.76,2
619225.6,593580.03,3
619048.58,593673.11,2
619004.33,593696.39,4
618960.07,593719.66,0
618915.82,593742.93,2
618871.56,593766.2,8
618827.31,593789.47,0
618783.06,593812.74,1
618738.8,593836.01,4
618694.55,593859.28,0
618650.29,593882.55,3
618606.04,593905.82,0
618561.78,593929.09,0
618384.76,594022.18,2
618296.26,594068.72,4
618252,594091.99,5
618207.75,594115.26,2
618163.49,594138.53,22
618962.2,594260.85,0
618917.95,594284.13,5
618873.69,594307.4,6
618829.44,594330.67,3
618785.18,594353.94,0
618740.93,594377.21,0
618608.16,594447.02,5
618563.91,594470.29,4
618519.66,594493.56,0
618475.4,594516.83,7
618431.15,594540.1,7
618386.89,594563.38,4
618342.64,594586.65,10
618298.38,594609.92,9
618119.24,594161.8,7
621001.21,596849.3,5
621045.46,596826.03,6
621089.72,596802.76,4
621133.97,596779.49,9
621178.22,596756.22,8
621222.48,596732.95,0
621266.73,596709.68,0
621310.99,596686.41,0
621355.24,596663.13,0
621399.5,596639.86,12
621443.75,596616.59,0
621643.96,596782.47,0
621599.71,596805.74,7
621555.45,596829.02,0
621511.2,596852.29,0
621466.94,596875.56,0
621422.69,596898.83,0
621378.43,596922.1,0
621334.18,596945.37,4
621289.92,596968.64,0
621245.67,596991.91,0
621201.42,597015.18,5
621157.16,597038.45,0
621112.91,597061.72,0
622187.78,599750.41,0
622232.03,599727.14,14
622276.29,599703.87,3
622320.54,599680.6,0
622364.8,599657.33,0
622409.05,599634.06,5
622453.31,599610.79,0
622497.56,599587.52,0
622541.82,599564.25,0
622253.1,599444.91,0
622297.35,599421.64,0
622341.61,599398.37,0
622385.86,599375.09,3
622430.12,599351.82,0
618074.98,594185.07,10
616349.05,595092.64,27
616393.31,595069.37,11
616437.56,595046.09,22
618161.36,593597.33,8
618205.62,593574.06,6
618249.87,593550.79,13
618294.13,593527.52,5
618338.38,593504.25,13
618559.66,593387.9,25
618603.91,593364.63,10
618648.16,593341.35,6
618692.42,593318.08,7
618736.67,593294.81,5
618780.93,593271.54,3
618825.18,593248.27,9
618869.44,593225,6
618913.69,593201.73,4
618957.95,593178.46,9
619002.2,593155.19,0
619179.22,593062.1,8
619223.47,593038.83,8
619267.73,593015.56,4
619356.24,592969.02,4
619400.49,592945.75,5
619444.75,592922.48,3
619489,592899.21,0
619533.26,592875.94,6
619577.51,592852.67,5
619621.77,592829.4,0
619666.02,592806.12,4
619710.27,592782.85,0
619754.53,592759.58,0
619798.78,592736.31,0
619843.04,592713.04,3
619887.29,592689.77,0
619931.55,592666.5,0
619923.25,596195.92,0
619878.99,596219.19,4
619834.74,596242.47,3
619790.48,596265.74,5
619746.23,596289.01,0
619701.97,596312.28,0
619657.72,596335.55,0
619613.46,596358.82,0
619569.21,596382.09,0
619524.96,596405.36,5
619480.7,596428.63,6
619436.45,596451.9,0
619392.19,596475.17,3
619347.94,596498.44,9
619303.68,596521.72,0
619215.17,596568.26,38
619170.92,596591.53,26
619126.66,596614.8,33
619082.41,596638.07,14
619038.16,596661.34,13
618993.9,596684.61,55
618949.65,596707.88,74
618905.39,596731.15,96
618861.14,596754.42,55
618816.88,596777.69,68
618772.63,596800.97,28
633631.08,612488.18,8
633586.83,612511.45,9
633542.57,612534.72,11
633498.32,612558,3
633454.06,612581.27,7
633409.81,612604.54,9
633365.56,612627.81,7
633321.3,612651.08,3
633277.05,612674.35,0
633232.79,612697.62,6
633188.54,612720.89,10
633144.28,612744.16,6
633100.03,612767.43,7
632960.88,611213.65,4
633005.14,611190.38,5
633049.39,611167.11,8
633093.65,611143.84,7
633137.9,611120.57,7
633182.16,611097.3,8
633226.41,611074.03,8
632695.36,611353.28,8
632651.1,611376.55,0
632606.85,611399.82,10
632562.59,611423.09,3
632518.34,611446.36,5
632474.08,611469.63,5
633114.71,610861.6,0
633070.46,610884.87,3
633026.2,610908.15,3
632981.95,610931.42,3
632937.69,610954.69,3
632893.44,610977.96,9
632849.18,611001.23,4
632804.93,611024.5,4
632539.4,611164.12,5
632495.15,611187.4,6
632450.89,611210.67,6
632406.64,611233.94,0
632362.38,611257.21,5
633519.38,612275.76,4
633475.13,612299.03,3
633430.87,612322.3,0
633386.62,612345.57,5
633342.36,612368.84,0
633298.11,612392.12,0
633253.86,612415.39,6
619876.86,595678,6
619832.61,595701.27,7
619788.36,595724.54,10
619744.1,595747.81,13
619699.85,595771.08,0
619655.59,595794.35,3
619611.34,595817.62,7
619567.08,595840.89,0
619522.83,595864.16,0
619478.57,595887.43,4
619434.32,595910.7,4
619390.06,595933.98,8
619345.81,595957.25,50
619301.56,595980.52,8
619257.3,596003.79,41
619213.05,596027.06,10
619168.79,596050.33,78
619080.28,596096.87,9
619036.03,596120.14,61
618991.77,596143.41,11
619338.47,596910.16,28
619921.12,595654.73,0
619965.37,595631.45,4
620009.63,595608.18,8
620053.88,595584.91,0
620098.14,595561.64,0
620142.39,595538.37,6
620230.9,595491.83,4
620275.16,595468.56,4
620319.41,595445.29,0
620363.67,595422.02,3
620407.92,595398.75,7
620452.17,595375.48,0
620496.43,595352.2,0
620540.68,595328.93,13
620584.94,595305.66,3
620629.19,595282.39,8
620673.45,595259.12,3
620717.7,595235.85,3
620938.97,595119.5,7
620983.23,595096.23,4
620090.8,596514.56,7
620046.54,596537.83,6
620002.29,596561.1,6
619958.03,596584.37,3
619913.78,596607.64,6
619869.52,596630.91,9
619692.51,596723.99,9
619648.25,596747.26,7
619604,596770.54,9
619559.74,596793.81,8
619515.49,596817.08,13
619471.23,596840.35,9
619426.98,596863.62,9
619382.72,596886.89,22
619338.47,596910.16,20
619028.69,597073.06,66
619072.94,597049.79,36
619117.2,597026.51,67
619161.45,597003.24,84
619205.71,596979.97,25
632583.66,611140.85,12
632627.91,611117.58,11
632760.67,611047.77,10
632739.61,611330.01,8
632783.86,611306.73,5
632872.37,611260.19,9
633209.6,612438.66,8
633165.35,612461.93,5
633121.09,612485.2,5
633032.58,612531.74,5
619520.7,595322.96,11
619564.96,595299.69,28
619609.21,595276.42,20
619653.46,595253.15,12
619697.72,595229.88,0
619741.97,595206.61,0
619786.23,595183.34,7
619830.48,595160.07,7
619874.74,595136.8,5
619918.99,595113.53,7
619963.25,595090.26,0
620096.01,595020.44,3
620361.54,594880.82,5
620405.79,594857.55,11
620450.05,594834.28,0
620494.3,594811.01,7
620538.56,594787.74,24
620582.81,594764.46,0
621741.94,596324.22,4
621830.45,596277.67,3
621874.7,596254.4,11
621918.96,596231.13,4
621963.21,596207.86,9
622007.47,596184.59,9
622051.72,596161.32,10
622095.98,596138.05,5
622140.23,596114.78,5
622184.48,596091.51,6
622228.74,596068.24,6
622272.99,596044.97,6
622582.78,595882.07,8
622671.29,595835.53,5
622715.54,595812.26,9
622759.79,595788.99,6
622804.05,595765.72,11
622848.3,595742.44,7
622892.56,595719.17,16
622936.81,595695.9,12
622981.07,595672.63,11
621518.54,595899.37,12
621562.79,595876.1,17
621607.05,595852.83,6
621651.3,595829.56,7
621695.56,595806.29,5
621739.81,595783.02,13
621872.58,595713.2,14
621916.83,595689.93,12
621961.08,595666.66,10
622005.34,595643.39,12
622093.85,595596.85,10
622138.1,595573.58,9
622182.36,595550.31,15
622226.61,595527.04,15
622270.87,595503.77,18
622315.12,595480.5,14
622359.38,595457.23,10
622403.63,595433.95,7
622447.89,595410.68,16
622492.14,595387.41,5
622536.39,595364.14,16
622580.65,595340.87,0
622624.9,595317.6,0
622669.16,595294.33,6
622713.41,595271.06,17
622757.67,595247.79,5
622801.92,595224.52,4
630427.74,609834.1,3
630383.48,609857.37,25
630339.23,609880.64,3
630294.97,609903.91,7
630250.72,609927.18,9
630206.46,609950.45,32
630162.21,609973.72,7
631253.89,611297.78,13
631209.64,611321.05,18
631165.38,611344.32,9
631121.13,611367.59,9
631076.87,611390.86,15
631032.62,611414.14,16
630988.36,611437.41,22
630944.11,611460.68,8
630899.85,611483.95,10
630855.6,611507.22,11
618859.01,596213.23,20
618814.75,596236.5,4
618770.5,596259.77,26
618726.25,596283.04,11
618549.23,596376.12,15
617855.84,594842.63,39
617900.09,594819.35,22
617944.35,594796.08,31
617988.6,594772.81,87
618165.62,594679.73,31
632502.49,610234.48,0
632546.74,610211.21,0
632635.25,610164.67,0
632679.51,610141.4,8
632723.76,610118.13,12
632768.01,610094.86,0
632856.52,610048.31,14
632900.78,610025.04,0
632945.03,610001.77,16
632989.29,609978.5,0
633033.54,609955.23,12
633077.8,609931.96,20
630688.05,611188.59,0
630732.3,611165.31,0
630820.81,611118.77,14
630909.32,611072.23,18
631440.38,610792.98,0
631484.63,610769.71,38
632548.87,610752.41,33
632593.12,610729.14,30
632637.38,610705.87,56
632681.63,610682.6,41
631796.54,611148.01,38
631528.89,610746.44,13
631573.14,610723.17,84
631794.41,610606.81,0
631838.67,610583.54,24
632591,610187.94,54
632812.27,610071.59,58
631929.3,611078.2,35
631973.56,611054.93,15
632017.81,611031.66,32
632106.32,610985.12,28
632194.83,610938.58,30
632860.78,611130.71,75
632905.03,611107.44,175
632949.29,611084.17,29
632993.54,611060.9,82
633037.8,611037.63,115
633082.05,611014.36,373
633126.31,610991.09,234
633170.56,610967.82,54
633214.81,610944.54,73
633259.07,610921.27,73
633303.32,610898,83
633347.58,610874.73,88
633391.83,610851.46,123
633436.09,610828.19,81
633480.34,610804.92,78
633524.6,610781.65,64
633568.85,610758.38,75
632416.11,610822.22,30
632460.36,610798.95,40
632504.61,610775.68,32
632770.14,610636.05,24
633613.11,610735.11,71
633657.36,610711.84,59
633701.62,610688.56,62
633745.87,610665.29,34
633790.12,610642.02,63
633834.38,610618.75,149
633878.63,610595.48,81
632639.51,611247.07,133
632595.25,611270.34,85
632551,611293.61,120
632506.74,611316.88,93
632462.49,611340.15,109
632991.41,610519.7,55
633212.69,610403.35,9
633084.18,611555.55,39
633128.43,611532.28,51
633172.69,611509.01,57
633216.94,611485.74,41
633261.2,611462.47,38
634146.29,610997.05,50
634190.54,610973.78,71
634234.8,610950.51,45
632816.52,611153.98,33
632772.27,611177.25,59
632683.76,611223.79,22
632730.14,611741.72,38
632685.89,611764.99,39
633042.05,612120.02,20
632997.8,612143.29,40
632953.54,612166.57,60
633130.56,612073.48,59
633174.81,612050.21,15
633219.07,612026.94,32
633263.32,612003.67,37
633307.58,611980.4,43
633351.83,611957.13,124
633396.09,611933.86,32
629124.25,608214.68,28
629168.5,608191.41,35
629434.03,608051.78,27
629478.29,608028.51,36
629522.54,608005.24,31
630099.98,608243.92,64
630144.23,608220.65,36
630188.49,608197.38,21
630232.74,608174.11,61
630277,608150.83,45
630321.25,608127.56,144
630498.27,608034.48,57
630542.52,608011.21,34
630675.29,607941.4,26
630719.54,607918.13,90
630763.8,607894.85,99
630808.05,607871.58,23
630852.3,607848.31,23
629611.05,607958.7,23
629655.3,607935.43,26
629743.81,607888.89,158
629832.32,607842.34,24
629876.58,607819.07,38
629920.83,607795.8,35
629792.32,608948.01,38
629748.07,608971.28,30
629703.81,608994.55,34
629659.56,609017.82,179
629615.3,609041.09,44
629571.05,609064.37,64
629526.79,609087.64,48
629482.54,609110.91,77
629965.09,607772.53,32
630009.34,607749.26,55
630053.6,607725.99,43
630097.85,607702.72,40
630142.1,607679.45,29
630186.36,607656.18,30
630230.61,607632.91,28
630363.38,607563.09,42
630407.63,607539.82,29
630451.89,607516.55,26
630496.14,607493.28,42
630190.61,608738.57,16
630234.87,608715.3,25
630279.12,608692.03,41
630323.38,608668.76,34
630367.63,608645.49,52
630411.89,608622.22,59
630456.14,608598.95,34
630500.4,608575.68,23
630544.65,608552.41,20
630588.9,608529.14,36
630633.16,608505.87,33
630677.41,608482.59,67
630721.67,608459.32,29
630765.92,608436.05,41
630810.18,608412.78,24
630854.43,608389.51,19
630898.69,608366.24,20
630942.94,608342.97,42
630987.2,608319.7,30
631031.45,608296.43,16
631075.7,608273.16,22
630723.8,609000.52,20
630768.05,608977.25,25
630540.4,607470.01,22
630584.65,607446.74,22
630628.9,607423.47,27
630631.03,607964.67,9
630454.01,608057.75,12
630409.76,608081.02,14
630365.5,608104.29,18
629922.96,608337,30
629701.69,608453.36,29
629657.43,608476.63,24
629568.92,608523.17,37
629524.67,608546.44,13
629480.41,608569.71,358
629436.16,608592.98,23
629217.01,609250.53,39
629172.76,609273.8,21
629128.5,609297.07,21
629095.28,610952.79,620
629059.88,610971.41,1160
629024.48,610990.02,1120
628989.07,611008.64,1820
628953.67,611027.26,450
628918.27,611045.87,100
628882.86,611064.49,0
628847.46,611083.11,190
628812.06,611101.72,20
628776.65,611120.34,20
628741.25,611138.96,30
628705.84,611157.57,0
628670.44,611176.19,0
628599.63,611213.42,0
628564.23,611232.04,0
628528.83,611250.66,170
628493.42,611269.27,0
628458.02,611287.89,0
628422.61,611306.51,0
628387.21,611325.12,0
628351.81,611343.74,0
629130.69,610934.17,260
629166.09,610915.56,220
629201.5,610896.94,170
629236.9,610878.32,50
629272.3,610859.71,170
629307.71,610841.09,20
629343.11,610822.47,0
629378.51,610803.86,0
629413.92,610785.24,0
629449.32,610766.62,20
629484.72,610748.01,20
629520.13,610729.39,0
629555.53,610710.77,0
629590.94,610692.16,0
629626.34,610673.54,0
629661.74,610654.92,0
629732.55,610617.69,20
629767.95,610599.07,0
629803.36,610580.46,0
629838.76,610561.84,0
629874.17,610543.22,0
629909.57,610524.61,0
629944.97,610505.99,40
629980.38,610487.37,0
630015.78,610468.76,0
630051.18,610450.14,0
630086.59,610431.52,150
630121.99,610412.91,40
630157.39,610394.29,0
630192.8,610375.67,0
628463.51,611556.16,0
628534.31,611518.93,0
628569.72,611500.31,20
628605.12,611481.7,0
628640.53,611463.08,0
628746.74,611407.23,0
628782.14,611388.61,30
628817.54,611370,30
628852.95,611351.38,30
628888.35,611332.76,40
628923.76,611314.15,30
628959.16,611295.53,20
628994.56,611276.91,30
629029.97,611258.3,100
629065.37,611239.68,80
629100.77,611221.06,90
629136.18,611202.45,270
629171.58,611183.83,60
629206.98,611165.21,360
629242.39,611146.6,60
629277.79,611127.98,60
629313.2,611109.36,40
629348.6,611090.75,70
629384,611072.13,30
629419.41,611053.51,10
629454.81,611034.9,40
629490.21,611016.28,20
629525.62,610997.66,0
629561.02,610979.05,0
629596.42,610960.43,0
629631.83,610941.81,0
629667.23,610923.2,0
629702.64,610904.58,0
629738.04,610885.96,0
629773.44,610867.35,0
629808.85,610848.73,0
629844.25,610830.11,0
629879.65,610811.5,0
630304.5,610588.1,0
630339.9,610569.48,0
630451.6,610781.9,0
630416.2,610800.52,0
630380.79,610819.13,0
630345.39,610837.75,0
630309.99,610856.37,0
630274.58,610874.98,0
630239.18,610893.6,0
630203.78,610912.22,0
630168.37,610930.83,0
630132.97,610949.45,0
630097.57,610968.07,0
629885.14,611079.77,30
629849.74,611098.38,0
629814.34,611117,0
629637.32,611210.08,140
629601.91,611228.7,0
629566.51,611247.32,0
629531.11,611265.93,0
629354.09,611359.02,50
629318.68,611377.63,50
629283.28,611396.25,30
629247.88,611414.87,40
629043.41,610166.59,90
629008.01,610185.21,60
628972.61,610203.82,40
628937.2,610222.44,50
628901.8,610241.06,70
628866.4,610259.67,90
628830.99,610278.29,440
628795.59,610296.91,680
620386.77,600923.42,70
620422.17,600904.81,40
620457.57,600886.19,150
620492.98,600867.57,250
620528.38,600848.96,30
620563.78,600830.34,110
620599.19,600811.72,150
620634.59,600793.11,20
620670,600774.49,170
620776.21,600718.64,50
620811.61,600700.02,70
620917.82,600644.17,180
620953.23,600625.56,90
620988.63,600606.94,330
621024.03,600588.32,190
621059.44,600569.71,60
621094.84,600551.09,110
621130.24,600532.47,130
621165.65,600513.86,260
621201.05,600495.24,270
621236.45,600476.62,480
621271.86,600458.01,190
621307.26,600439.39,30
621342.67,600420.77,30
621378.07,600402.16,30
621413.47,600383.54,40
621448.88,600364.92,120
621555.09,600309.07,150
621294.13,600672.26,170
621258.73,600690.87,80
621223.33,600709.49,40
621187.92,600728.11,0
621152.52,600746.72,70
621117.12,600765.34,60
621081.71,600783.96,60
621046.31,600802.57,60
621010.9,600821.19,50
620975.5,600839.81,130
620833.89,600914.27,0
620798.48,600932.89,0
620763.08,600951.51,30
620727.68,600970.12,0
620692.27,600988.74,0
620656.87,601007.36,100
620621.46,601025.97,80
620586.06,601044.59,20
620479.85,601100.44,310
620444.45,601119.06,240
620409.04,601137.67,40
620373.64,601156.29,30
620338.24,601174.91,20
621147.35,599619.62,310
621111.95,599638.23,100
621076.54,599656.85,190
621041.14,599675.47,30
621005.74,599694.08,190
620970.33,599712.7,250
620687.1,599861.63,500
620651.7,599880.25,320
620616.3,599898.87,470
620580.89,599917.48,420
620545.49,599936.1,690
620510.08,599954.72,280
620474.68,599973.33,210
620403.87,600010.57,50
620368.47,600029.18,30
620333.07,600047.8,0
620297.66,600066.42,0
620262.26,600085.03,0
620226.86,600103.65,0
620191.45,600122.27,0
620156.05,600140.88,20
620120.64,600159.5,30
620085.24,600178.12,0
620049.84,600196.73,20
620949.25,601305.54,90
620984.65,601286.93,210
621020.05,601268.31,20
621055.46,601249.69,200
621197.07,601175.23,120
621232.48,601156.61,130
621267.88,601137.99,50
621303.28,601119.38,170
621338.69,601100.76,110
621374.09,601082.14,20
621409.49,601063.53,40
621444.9,601044.91,130
621493.43,600793.43,60
620891.57,601109.91,20
620856.16,601128.53,120
620820.76,601147.14,100
620785.36,601165.76,40
620749.95,601184.38,60
620679.14,601221.61,40
620643.74,601240.23,40
620608.34,601258.84,150
620572.93,601277.46,120
620537.53,601296.08,100
620502.13,601314.69,190
620466.72,601333.31,300
620431.32,601351.93,30
621169.63,599833.87,70
621134.22,599852.48,60
621098.82,599871.1,110
621063.42,599889.72,120
621028.01,599908.33,70
620992.61,599926.95,80
620957.2,599945.57,210
620921.8,599964.18,120
620780.19,600038.65,300
620744.78,600057.27,2480
620709.38,600075.88,1960
620673.98,600094.5,1010
620638.57,600113.12,320
620603.17,600131.73,240
620567.76,600150.35,110
620461.55,600206.2,30
620426.15,600224.82,40
620390.75,600243.43,80
620355.34,600262.05,70
620319.94,600280.67,60
620284.53,600299.28,110
620249.13,600317.9,60
620213.73,600336.52,50
620178.32,600355.13,0
620142.92,600373.75,0
620107.52,600392.37,120
620072.11,600410.98,310
620001.31,600448.22,40
619965.9,600466.83,30
621191.9,600048.12,140
621121.1,600085.35,150
621085.69,600103.97,160
620731.65,600290.14,280
620625.44,600345.99,30
620590.04,600364.6,90
620554.64,600383.22,20
620519.23,600401.84,0
620483.83,600420.45,0
620448.43,600439.07,0
620413.02,600457.69,0
620377.62,600476.3,0
620342.21,600494.92,30
620306.81,600513.54,60
620271.41,600532.15,40
620236,600550.77,140
620200.6,600569.39,820
620165.2,600588,210
620129.79,600606.62,370
620058.99,600643.85,0
621462,600132.05,100
621426.6,600150.67,370
621391.2,600169.29,270
621355.79,600187.9,200
621320.39,600206.52,60
621284.99,600225.14,100
621249.58,600243.75,30
621214.18,600262.37,60
621178.77,600280.99,40
621143.37,600299.6,60
621107.97,600318.22,60
621072.56,600336.84,50
621037.16,600355.45,150
621001.76,600374.07,360
620860.14,600448.54,110
620824.74,600467.15,370
620789.33,600485.77,830
620753.93,600504.39,600
620612.32,600578.85,30
620576.91,600597.47,40
620541.51,600616.09,0
620506.11,600634.7,30
620470.7,600653.32,20
620435.3,600671.94,30
620399.89,600690.55,40
620364.49,600709.17,30
620329.09,600727.79,100
620293.68,600746.4,50
620258.28,600765.02,60
620222.88,600783.64,20
620187.47,600802.25,0
620152.07,600820.87,0
621502.58,601240.55,130
621467.17,601259.16,30
621431.77,601277.78,30
621396.37,601296.4,170
621360.96,601315.01,40
621219.35,601389.48,20
621183.94,601408.1,20
621148.54,601426.71,0
621113.14,601445.33,40
621077.73,601463.95,20
621042.33,601482.56,30
621006.93,601501.18,50
620971.52,601519.8,20
620900.71,601557.03,290
620865.31,601575.65,280
620759.1,601631.5,20
620723.7,601650.11,0
621560.26,601436.18,50
621524.85,601454.8,30
621347.83,601547.88,20
621312.43,601566.5,0
621277.03,601585.11,0
621241.62,601603.73,0
621206.22,601622.35,0
621170.82,601640.96,30
621135.41,601659.58,120
621100.01,601678.2,140
621064.61,601696.81,40
621029.2,601715.43,40
620993.8,601734.05,40
620958.39,601752.66,0
620922.99,601771.28,0
620887.59,601789.9,30
620852.18,601808.51,0
620816.78,601827.13,0
620781.38,601845.75,30
620745.97,601864.36,0
620710.57,601882.98,0
621565.75,601704.45,20
621530.34,601723.07,20
621494.94,601741.69,50
621459.53,601760.3,50
621424.13,601778.92,30
621388.73,601797.54,60
621353.32,601816.15,50
621317.92,601834.77,120
621282.52,601853.39,40
621247.11,601872,170
621211.71,601890.62,220
621176.31,601909.24,40
621140.9,601927.85,60
621105.5,601946.47,80
621070.09,601965.09,60
621034.69,601983.7,0
620999.29,602002.32,0
620963.88,602020.94,20
620928.48,602039.55,70
620893.08,602058.17,80
620857.67,602076.79,20
620822.27,602095.4,20
621035.65,599407.19,80
620964.84,599444.43,430
620894.04,599481.66,680
620858.63,599500.28,510
620823.23,599518.89,320
620787.82,599537.51,220
620752.42,599556.13,160
620433.79,599723.68,190
620398.38,599742.29,220
620362.98,599760.91,110
620327.58,599779.53,60
620292.17,599798.14,240
620256.77,599816.76,90
620221.37,599835.38,330
620185.96,599853.99,60
620150.56,599872.61,340
620079.75,599909.84,40
620044.35,599928.46,60
620008.94,599947.08,360
619973.54,599965.69,50
619902.73,600002.93,290
619867.33,600021.54,130
619831.93,600040.16,120
619796.52,600058.78,170
619761.12,600077.39,50
623487.56,603812.21,50
623452.16,603830.82,100
623416.75,603849.44,70
623381.35,603868.06,100
623310.54,603905.29,370
623275.14,603923.91,310
623239.74,603942.52,330
623204.33,603961.14,360
623168.93,603979.76,250
623133.53,603998.37,200
623098.12,604016.99,50
622708.68,604221.77,130
622673.28,604240.39,20
628686.91,611981.01,0
628722.31,611962.39,20
628934.73,611850.69,0
628970.14,611832.07,0
629005.54,611813.46,0
629040.94,611794.84,0
629076.35,611776.22,0
629111.75,611757.61,0
629147.16,611738.99,70
629182.56,611720.37,0
629217.96,611701.76,0
629253.37,611683.14,50
629288.77,611664.52,0
629324.17,611645.91,0
629359.58,611627.29,0
629394.98,611608.67,0
629430.38,611590.06,50
629465.79,611571.44,0
629501.19,611552.82,0
629536.6,611534.21,0
629572,611515.59,0
629607.4,611496.97,0
629642.81,611478.36,0
629784.42,611403.89,0
629819.82,611385.27,0
629855.23,611366.66,0
630032.25,611273.57,40
630067.65,611254.96,0
630350.88,611106.02,0
630386.28,611087.41,0
630421.69,611068.79,0
630457.09,611050.17,0
630492.49,611031.56,0
630527.9,611012.94,0
630563.3,610994.32,0
629294.26,611932.8,0
629329.66,611914.18,0
629365.07,611895.56,0
629400.47,611876.95,0
629435.87,611858.33,0
629471.28,611839.71,0
629506.68,611821.1,20
629542.08,611802.48,20
629577.49,611783.86,0
629719.1,611709.4,0
629754.51,611690.78,0
629789.91,611672.16,0
629825.31,611653.55,0
629860.72,611634.93,0
629896.12,611616.31,0
629931.52,611597.7,0
629966.93,611579.08,0
630002.33,611560.46,0
630037.74,611541.85,0
630073.14,611523.23,50
630108.54,611504.61,0
629512.17,612089.37,30
629547.57,612070.75,30
629582.98,612052.13,30
629618.38,612033.52,0
629653.78,612014.9,0
629689.19,611996.28,0
629724.59,611977.67,20
629760,611959.05,0
629795.4,611940.43,0
629830.8,611921.82,0
629866.21,611903.2,0
629901.61,611884.58,0
629937.01,611865.97,40
629972.42,611847.35,0
630007.82,611828.73,0
630043.22,611810.12,0
630078.63,611791.5,40
630114.03,611772.88,0
630149.44,611754.27,0
630184.84,611735.65,0
630220.24,611717.03,0
630255.65,611698.42,0
629022.01,612618.27,0
629057.41,612599.66,0
629092.81,612581.04,0
629128.22,612562.42,0
629163.62,612543.81,0
629199.03,612525.19,0
629234.43,612506.57,0
629269.83,612487.96,0
629305.24,612469.34,0
629340.64,612450.72,0
629376.04,612432.11,0
629411.45,612413.49,0
629694.68,612264.56,0
629730.08,612245.94,0
629765.48,612227.32,0
629800.89,612208.71,30
629836.29,612190.09,0
629871.7,612171.47,0
629907.1,612152.86,0
629977.91,612115.62,0
630013.31,612097.01,0
630048.71,612078.39,0
630084.12,612059.77,0
630119.52,612041.16,0
630154.92,612022.54,0
630190.33,612003.92,0
630225.73,611985.31,0
630261.14,611966.69,0
630473.56,611854.99,0
630508.96,611836.37,0
628735.76,610870.69,0
628771.16,610852.07,0
628806.57,610833.45,120
628841.97,610814.84,500
628877.37,610796.22,120
628912.78,610777.6,540
628948.18,610758.99,400
628983.58,610740.37,160
629018.99,610721.75,200
629054.39,610703.14,320
629089.8,610684.52,140
629125.2,610665.9,140
629160.6,610647.29,220
629196.01,610628.67,20
629231.41,610610.05,40
629266.81,610591.44,40
629302.22,610572.82,20
629337.62,610554.2,60
629762.46,610330.8,0
629797.87,610312.19,0
629833.27,610293.57,0
629868.68,610274.95,0
629904.08,610256.34,0
629939.48,610237.72,0
629974.89,610219.1,0
630010.29,610200.49,0
630045.69,610181.87,0
630081.1,610163.25,0
630116.5,610144.64,0
628542.27,610158.95,520
628577.68,610140.34,580
628613.08,610121.72,510
628648.48,610103.1,420
628683.89,610084.49,560
628719.29,610065.87,200
628754.7,610047.25,100
628790.1,610028.64,60
628825.5,610010.02,40
628860.91,609991.4,100
628896.31,609972.79,160
628931.71,609954.17,100
628967.12,609935.55,130
629037.92,609898.32,0
629002.52,609916.94,0
629073.33,609879.7,180
629108.73,609861.09,20
629144.14,609842.47,0
629179.54,609823.85,0
629214.94,609805.24,0
629250.35,609786.62,0
629285.75,609768,0
629321.15,609749.39,0
629356.56,609730.77,0
629391.96,609712.15,0
629639.79,609581.84,0
629675.19,609563.22,0
629710.59,609544.6,0
