east,north,au
627486,611787,0
627536,611755,0
627414,611560,0
627387,611581,0
627355,611597,0
627305,611628,0
627259,611648,0
627220,611664,0
627176,611685,0
627114,611711,0
627080,611745,0
627036,611768,0
626997,611789,0
626957,611807,0
626905,611825,0
626855,611842,0
626817,611883,0
626761,611904,0
626726,611926,0
626681,611953,7
626628,611976,0
626596,611998,5
626555,612021,5
626505,612036,0
626455,612059,3
626402,612093,0
626364,612110,5
626693,611659,8
626668,611682,6
626614,611714,0
626581,611731,17
626536,611754,8
626479,611788,0
626436,611802,0
626410,611815,0
626352,611844,0
626311,611869,9
626242,611906,7
626731,611635,0
626777,611614,0
626818,611597,4
626866,611574,7
626920,611528,0
626954,611520,0
627012,611483,0
627041,611467,0
627095,611450,0
627129,611423,0
627172,611391,1
627217,611376,0
627264,611364,1
627305,611340,0
627090,611196,22
627118,611180,0
627169,611152,10
627209,611123,7
627283,611111,0
627039,611222,0
626989,611252,0
626948,611256,4
626895,611296,0
626863,611317,8
626816,611348,0
626770,611367,7
626729,611388,6
626678,611414,0
626643,611431,6
626606,611458,0
626551,611479,0
626512,611495,0
626464,611522,0
626424,611539,0
626372,611575,0
626334,611604,4
626291,611619,8
626237,611638,10
626201,611665,0
626162,611673,6
626346,611305,10
626310,611333,0
626257,611354,0
626210,611378,0
626154,611402,0
626149,611403,10
626189,611424,5
626382,611279,0
626420,611258,0
626465,611240,17
626506,611214,25
626553,611196,0
626597,611170,0
626645,611147,9
626695,611121,8
626730,611100,8
626780,611084,9
626823,611061,12
626867,611030,6
626909,611005,28
626952,610987,16
626999,610957,0
627048,610928,0
627087,610907,0
626676,610870,0
626638,610891,0
626594,610911,0
626545,610939,0
626502,610966,0
626460,610986,0
626420,611007,0
626373,611028,0
626328,611055,0
626290,611070,0
626254,611097,0
626200,611119,0
626154,611142,0
626108,611166,0
626065,611188,0
626006,611194,0
626645,610608,0
626605,610634,2
626562,610666,2
626517,610673,2
626486,610695,9
626446,610726,2
626395,610749,0
626354,610764,17
626310,610784,0
626253,610823,15
626221,610836,11
626175,610860,13
626128,610891,5
626086,610913,0
626041,610936,6
625982,610960,9
625955,610976,3
625907,610998,5
625877,611019,0
625685,610819,2
625733,610805,9
625777,610782,8
625819,610764,2
625865,610733,0
625908,610718,0
625954,610693,2
625994,610665,9
626051,610631,2
626087,610611,0
626135,610605,5
626189,610563,4
626226,610553,0
626261,610531,0
626307,610507,0
626174,610320,0
626128,610342,0
626085,610367,0
626039,610390,0
625992,610399,4
625943,610419,0
625897,610443,0
625853,610471,0
625812,610490,3
625768,610511,8
625713,610537,1
625677,610564,0
625647,610599,0
625597,610619,0
625554,610637,0
625510,610672,0
625476,610686,0
626511,599119,4
626561,599071,16
626613,599054,6
626658,599021,6
626708,599008,10
626746,598978,6
626797,598948,3
626831,598928,2
626887,598891,0
626921,598862,0
626971,598848,0
627010,598816,3
627069,598795,10
627117,598769,8
626435,599157,0
626391,599191,2
626340,599198,0
626290,599230,4
626249,599261,0
626213,599280,3
626162,599311,3
626118,599346,5
626071,599368,3
626018,599388,8
625971,599434,10
625928,599461,21
625889,599467,30
625828,599508,15
625798,599519,13
625741,599561,13
625702,599587,13
625650,599604,15
625604,599639,28
625565,599665,360
625522,599688,18
625471,599718,56
625438,599732,30
625389,599761,55
625352,599787,547
625294,599828,39
625244,599849,25
625210,599870,80
625152,599886,22
625121,599929,19
626364,598948,0
626414,598926,0
626466,598907,27
626513,598886,57
626556,598841,3
626591,598825,43
626637,598789,22
626680,598770,11
626722,598745,13
626773,598710,30
626828,598683,2
626869,598669,82
626910,598639,341
626951,598614,4
627006,598576,2
627043,598558,2
626325,598978,145
626268,599018,19
626230,599036,18
626183,599053,25
626142,599084,44
626096,599110,24
626051,599137,6
626001,599157,31
625966,599196,108
625910,599217,61
625863,599236,105
625859,599259,17
625773,599299,69
625740,599328,21
625682,599352,10
625649,599368,26
625591,599407,33
625547,599423,37
625501,599458,13
625468,599486,19
625410,599510,11
625377,599538,16
625330,599553,18
625286,599579,19
625229,599619,18
621848,601597,32
621870,601557,14
621918,601541,23
621976,601516,17
622008,601481,70
622056,601456,65
622113,601439,19
622158,601411,11
622189,601386,27
622248,601359,14
622279,601333,29
622338,601305,24
622376,601277,155
622421,601248,21
622468,601221,30
622514,601195,81
622560,601169,64
622605,601142,18
622658,601128,8
622691,601086,2
622731,601060,5
622781,601039,4
622832,601010,5
622877,600984,3
622922,600961,6
622968,600931,10
623012,600908,0
623058,600879,0
623104,600853,0
623149,600827,4
623193,600799,0
623240,600773,0
623285,600747,0
623340,600730,0
623376,600694,2
623412,600671,0
623450,600635,16
626258,598772,3
626301,598749,4
626354,598718,24
626409,598681,17
626440,598674,2
626481,598641,8
626541,598600,19
626592,598590,10
626625,598557,447
626673,598525,12
626710,598501,15
626765,598473,2
626801,598464,0
626861,598439,0
626889,598410,0
626946,598372,0
626989,598341,0
627031,598328,1
627072,598291,0
626218,598797,0
626162,598826,0
626127,598850,0
626090,598869,0
626046,598913,10
625995,598936,2
625956,598961,0
625913,598980,12
625852,599004,0
625805,599028,13
625760,599066,457
625713,599081,90
625681,599119,90
625632,599145,23
625590,599172,32
625537,599193,30
625487,599224,44
625447,599246,112
